Vendor purchase budget by client and month (vendor name only),,,,,,,,,
budget = purchase_budget × (vendor_avg_per_month / sum of client vendor avgs),,,,,,,,,
Client,Plan month,Sales month,Net sales 2025,Purchase budget 60%,Vendor,Delivery day(s),Vendor avg/mo,Share,Budget for vendor
Arco Westminster,Sep 2026,Sep 2025,56302.02,33781.21,Frito Lay,Tuesday,1015.88,0.04454959468674559,1504.94
Arco Westminster,Sep 2026,Sep 2025,56302.02,33781.21,7UP,Thursday,575.52,0.02523839698991595,852.58
Laguna,Dec 2026,Dec 2025,143539.49,86123.69,Core-Mark,Monday,42370.77,0.8638022469051386,74393.84
Laguna,Dec 2026,Dec 2025,143539.49,86123.69,Frito Lay,Monday,3200.08,0.0652392272851354,5618.64
Laguna,Dec 2026,Dec 2025,143539.49,86123.69,Red Bull,Wednesday,1774.96,0.03618566375278866,3116.44
Laguna,Dec 2026,Dec 2025,143539.49,86123.69,7UP,Monday,1705.66,0.03477286205693734,2994.77
Laguna,Nov 2026,Nov 2025,126922.5,76153.5,Core-Mark,Monday,42370.77,0.8638022469051386,65781.56
Laguna,Nov 2026,Nov 2025,126922.5,76153.5,Frito Lay,Monday,3200.08,0.0652392272851354,4968.2
Laguna,Nov 2026,Nov 2025,126922.5,76153.5,Red Bull,Wednesday,1774.96,0.03618566375278866,2755.66
Laguna,Nov 2026,Nov 2025,126922.5,76153.5,7UP,Monday,1705.66,0.03477286205693734,2648.08
Laguna,Oct 2026,Oct 2025,146448.93,87869.36,Core-Mark,Monday,42370.77,0.8638022469051386,75901.75
Laguna,Oct 2026,Oct 2025,146448.93,87869.36,Frito Lay,Monday,3200.08,0.0652392272851354,5732.53
Laguna,Oct 2026,Oct 2025,146448.93,87869.36,Red Bull,Wednesday,1774.96,0.03618566375278866,3179.61
Laguna,Oct 2026,Oct 2025,146448.93,87869.36,7UP,Monday,1705.66,0.03477286205693734,3055.47
Laguna,Sep 2026,Sep 2025,141434.74,84860.84,Core-Mark,Monday,42370.77,0.8638022469051386,73302.98
Laguna,Sep 2026,Sep 2025,141434.74,84860.84,Frito Lay,Monday,3200.08,0.0652392272851354,5536.26
Laguna,Sep 2026,Sep 2025,141434.74,84860.84,Red Bull,Wednesday,1774.96,0.03618566375278866,3070.75
Laguna,Sep 2026,Sep 2025,141434.74,84860.84,7UP,Monday,1705.66,0.03477286205693734,2950.85
